source_host,method,sparsity_rate,exact_match_rate,top3_accuracy,top5_accuracy,median_distance,mean_belief_true,n_withheld
h12,Static_TAG,0.2,0.0,0.0,0.0,100.0,0.0043,1.0
h12,Static_TAG,0.4,0.0,0.0,0.0,100.0,0.0056,3.0
h12,Static_TAG,0.6,0.0,0.0,0.0,100.0,0.0048,5.0
h12,Static_TAG,0.8,0.0,0.0,0.0,100.0,0.0076,7.0
h12,TAG_Forward,0.2,0.0,0.0,0.0,4.0,0.0039,1.0
h12,TAG_Forward,0.4,0.0,0.0,0.0,3.0,0.004,3.0
h12,TAG_Forward,0.6,0.08,0.08,0.08,2.0,0.0567,5.0
h12,TAG_Forward,0.8,0.0,0.0,0.0,3.0,0.0057,7.0
h19,Last_Seen,0.2,0.0,0.0,0.0,3.0,0.0,1.0
h19,Last_Seen,0.4,0.0,0.0,0.0,3.0,0.0,2.0
h19,Last_Seen,0.6,0.0,0.0,0.0,3.0,0.0,3.0
h19,Last_Seen,0.8,0.0,0.0,0.0,3.0,0.0,4.0
h19,Most_Connected,0.2,0.0,0.0,0.0,2.0,0.0,1.0
h19,Most_Connected,0.4,0.0,0.0,0.0,1.5,0.0,2.0
h19,Most_Connected,0.6,0.0,0.0,0.0,2.0,0.0,3.0
h19,Most_Connected,0.8,0.0,0.0,0.0,1.5,0.0,4.0
h19,Random,0.2,0.0,0.0,0.0,3.0,0.0,1.0
h19,Random,0.4,0.0,0.0,0.0,3.5,0.0,2.0
h19,Random,0.6,0.0,0.0,0.0,3.0,0.0,3.0
h19,Random,0.8,0.0,0.0,0.0,3.0,0.0,4.0
h19,Static_TAG,0.2,0.0,0.0,0.0,1.0,0.0061,1.0
h19,Static_TAG,0.4,0.0,0.0,0.0,50.5,0.0058,2.0
h19,Static_TAG,0.6,0.0,0.0,0.0,2.0,0.009,3.0
h19,Static_TAG,0.8,0.0,0.0,0.0,2.0,0.0078,4.0
h19,TAG_Forward,0.2,0.0,0.0,0.0,3.0,0.0045,1.0
h19,TAG_Forward,0.4,0.0,0.0,0.0,3.0,0.0039,2.0
h19,TAG_Forward,0.6,0.0,0.0,0.0,3.0,0.0072,3.0
h19,TAG_Forward,0.8,0.0,0.0,0.0,3.0,0.0079,4.0
h21,Last_Seen,0.2,0.2,0.0,0.0,3.0,0.0,1.0
h21,Last_Seen,0.4,0.3,0.0,0.0,50.0,0.0,2.0
h21,Last_Seen,0.6,0.2,0.0,0.0,3.0,0.0,3.0
h21,Last_Seen,0.8,0.25,0.0,0.0,2.5,0.0,4.0
h21,Most_Connected,0.2,0.0,0.0,0.0,2.0,0.0,1.0
h21,Most_Connected,0.4,0.0,0.0,0.0,3.0,0.0,2.0
h21,Most_Connected,0.6,0.0,0.0,0.0,3.0,0.0,3.0
h21,Most_Connected,0.8,0.0,0.0,0.0,3.0,0.0,4.0
h21,Random,0.2,0.0,0.0,0.0,3.0,0.0,1.0
h21,Random,0.4,0.0,0.0,0.0,51.0,0.0,2.0
h21,Random,0.6,0.0667,0.0,0.0,3.0,0.0,3.0
h21,Random,0.8,0.0,0.0,0.0,52.0,0.0,4.0
h21,Static_TAG,0.2,0.0,0.0,0.0,2.0,0.0066,1.0
h21,Static_TAG,0.4,0.0,0.0,0.0,50.5,0.0055,2.0
h21,Static_TAG,0.6,0.0,0.0,0.0,2.0,0.0078,3.0
h21,Static_TAG,0.8,0.0,0.0,0.0,1.5,0.0088,4.0
h21,TAG_Forward,0.2,0.2,0.2,0.2,3.0,0.133,1.0
h21,TAG_Forward,0.4,0.3,0.3,0.3,50.0,0.1979,2.0
h21,TAG_Forward,0.6,0.2,0.2,0.2,3.0,0.1342,3.0
h21,TAG_Forward,0.8,0.25,0.25,0.25,2.5,0.1674,4.0
h22,Last_Seen,0.2,0.4,0.0,0.0,3.0,0.0,1.0
h22,Last_Seen,0.4,0.7,0.0,0.0,1.5,0.0,2.0
h22,Last_Seen,0.6,0.6,0.0,0.0,1.5,0.0,4.0
