source_host,method,sparsity_rate,exact_match_rate,top3_accuracy,top5_accuracy,median_distance,mean_belief_true,n_withheld
h7,Most_Connected,0.4,0.0,0.0,0.0,1.0,0.0,1.0
h7,Most_Connected,0.6,0.0,0.0,0.0,2.0,0.0,2.0
h7,Most_Connected,0.8,0.0,0.0,0.0,1.0,0.0,3.0
h7,Random,0.2,0.0,0.0,0.0,3.0,0.0,1.0
h7,Random,0.4,0.0,0.0,0.0,3.0,0.0,1.0
h7,Random,0.6,0.0,0.0,0.0,51.0,0.0,2.0
h7,Random,0.8,0.0,0.0,0.0,4.0,0.0,3.0
h7,Static_TAG,0.2,0.0,0.0,0.0,1.0,0.0029,1.0
h7,Static_TAG,0.4,0.0,0.0,0.0,1.0,0.0029,1.0
h7,Static_TAG,0.6,0.0,0.0,0.0,50.5,0.0055,2.0
h7,Static_TAG,0.8,0.0,0.0,0.0,2.0,0.0066,3.0
h7,TAG_Forward,0.2,0.6,0.6,0.6,0.0,0.1895,1.0
h7,TAG_Forward,0.4,0.6,0.6,0.6,0.0,0.1895,1.0
h7,TAG_Forward,0.6,0.2,0.2,0.2,4.0,0.059,2.0
h7,TAG_Forward,0.8,0.0,0.0,0.0,4.0,0.0027,3.0
h71,Last_Seen,0.2,0.0,0.0,0.0,100.0,0.0,1.0
h71,Last_Seen,0.4,0.2,0.0,0.0,100.0,0.0,1.0
h71,Last_Seen,0.6,0.0,0.0,0.0,100.0,0.0,2.0
h71,Last_Seen,0.8,0.0,0.0,0.0,2.0,0.0,3.0
h71,Most_Connected,0.2,0.0,0.0,0.0,2.0,0.0,1.0
h71,Most_Connected,0.4,0.0,0.0,0.0,2.0,0.0,1.0
h71,Most_Connected,0.6,0.0,0.0,0.0,2.0,0.0,2.0
h71,Most_Connected,0.8,0.0,0.0,0.0,2.0,0.0,3.0
h71,Random,0.2,0.0,0.0,0.0,4.0,0.0,1.0
h71,Random,0.4,0.0,0.0,0.0,100.0,0.0,1.0
h71,Random,0.6,0.1,0.0,0.0,51.5,0.0,2.0
h71,Random,0.8,0.0,0.0,0.0,100.0,0.0,3.0
h71,Static_TAG,0.2,0.0,0.0,0.0,100.0,0.0078,1.0
h71,Static_TAG,0.4,0.0,0.0,0.0,100.0,0.0087,1.0
h71,Static_TAG,0.6,0.0,0.0,0.0,100.0,0.0091,2.0
h71,Static_TAG,0.8,0.0,0.0,0.0,100.0,0.0071,3.0
h71,TAG_Forward,0.2,0.0,0.0,0.0,2.0,0.0038,1.0
h71,TAG_Forward,0.4,0.0,0.0,0.0,2.0,0.0049,1.0
h71,TAG_Forward,0.6,0.0,0.0,0.0,2.0,0.0045,2.0
h71,TAG_Forward,0.8,0.0,0.0,0.0,2.0,0.0024,3.0
h74,Last_Seen,0.2,0.2,0.0,0.0,1.0,0.0,1.0
h74,Last_Seen,0.4,0.6,0.0,0.0,0.5,0.0,2.0
h74,Last_Seen,0.6,0.3333,0.0,0.0,1.0,0.0,3.0
h74,Last_Seen,0.8,0.25,0.0,0.0,1.0,0.0,4.0
h74,Most_Connected,0.2,0.0,0.0,0.0,1.0,0.0,1.0
h74,Most_Connected,0.4,0.0,0.0,0.0,1.0,0.0,2.0
h74,Most_Connected,0.6,0.0,0.0,0.0,1.0,0.0,3.0
h74,Most_Connected,0.8,0.0,0.0,0.0,1.0,0.0,4.0
h74,Random,0.2,0.0,0.0,0.0,3.0,0.0,1.0
h74,Random,0.4,0.0,0.0,0.0,2.5,0.0,2.0
h74,Random,0.6,0.0,0.0,0.0,3.0,0.0,3.0
h74,Random,0.8,0.0,0.0,0.0,3.0,0.0,4.0
h74,Static_TAG,0.2,0.0,0.0,0.0,1.0,0.0203,1.0
h74,Static_TAG,0.4,0.0,0.0,0.0,1.0,0.0099,2.0
h74,Static_TAG,0.6,0.0,0.0,0.0,1.0,0.0129,3.0
h74,Static_TAG,0.8,0.0,0.0,0.0,1.0,0.0072,4.0
h74,TAG_Forward,0.2,0.4,0.4,0.4,1.0,0.0831,1.0
h74,TAG_Forward,0.4,0.7,0.7,0.7,0.0,0.1781,2.0
h74,TAG_Forward,0.6,0.3333,0.4,0.4,1.0,0.0989,3.0
h74,TAG_Forward,0.8,0.25,0.25,0.25,2.0,0.0695,4.0
h79,Last_Seen,0.2,0.0,0.0,0.0,3.0,0.0,1.0
h79,Last_Seen,0.4,0.0,0.0,0.0,100.0,0.0,1.0
h79,Last_Seen,0.6,0.1,0.0,0.0,51.5,0.0,2.0
h79,Last_Seen,0.8,0.3333,0.0,0.0,3.0,0.0,3.0
h79,Most_Connected,0.2,0.0,0.0,0.0,4.0,0.0,1.0
h79,Most_Connected,0.4,0.0,0.0,0.0,5.0,0.0,1.0
h79,Most_Connected,0.6,0.0,0.0,0.0,4.5,0.0,2.0
h79,Most_Connected,0.8,0.0,0.0,0.0,5.0,0.0,3.0
h79,Random,0.2,0.0,0.0,0.0,4.0,0.0,1.0
h79,Random,0.4,0.0,0.0,0.0,3.0,0.0,1.0
h79,Random,0.6,0.1,0.0,0.0,50.0,0.0,2.0
h79,Random,0.8,0.0,0.0,0.0,6.0,0.0,3.0
h79,Static_TAG,0.2,0.0,0.0,0.0,1.0,0.0077,1.0
h79,Static_TAG,0.4,0.0,0.0,0.0,5.0,0.0087,1.0
h79,Static_TAG,0.6,0.0,0.0,0.0,50.5,0.0082,2.0
h79,Static_TAG,0.8,0.0,0.0,0.0,100.0,0.0074,3.0
h79,TAG_Forward,0.2,0.0,0.0,0.0,4.0,0.0075,1.0
h79,TAG_Forward,0.4,0.0,0.0,0.0,3.0,0.0071,1.0
h79,TAG_Forward,0.6,0.0,0.0,0.0,4.5,0.0078,2.0
h79,TAG_Forward,0.8,0.0,0.0,0.0,6.0,0.0066,3.0
h8,Last_Seen,0.2,0.15,0.0,0.0,3.5,0.0,4.0
h8,Last_Seen,0.4,0.2,0.0,0.0,1.5,0.0,8.0
h8,Last_Seen,0.6,0.2,0.0,0.0,2.0,0.0,13.0
h8,Last_Seen,0.8,0.1294,0.0,0.0,2.0,0.0,17.0
h8,Most_Connected,0.2,0.0,0.0,0.0,2.5,0.0,4.0
h8,Most_Connected,0.4,0.0,0.0,0.0,2.0,0.0,8.0
h8,Most_Connected,0.6,0.0,0.0,0.0,2.0,0.0,13.0
h8,Most_Connected,0.8,0.0,0.0,0.0,2.0,0.0,17.0
h8,Random,0.2,0.0,0.0,0.0,5.0,0.0,4.0
h8,Random,0.4,0.025,0.0,0.0,3.0,0.0,8.0
h8,Random,0.6,0.0,0.0,0.0,3.0,0.0,13.0
h8,Random,0.8,0.0,0.0,0.0,3.0,0.0,17.0
h8,Static_TAG,0.2,0.0,0.0,0.1,2.0,0.0072,4.0
h8,Static_TAG,0.4,0.0,0.0,0.025,2.5,0.0076,8.0
h8,Static_TAG,0.6,0.0,0.0,0.0308,1.0,0.0095,13.0
h8,Static_TAG,0.8,0.0,0.0235,0.047,1.0,0.0109,17.0
h8,TAG_Forward,0.2,0.1,0.1,0.1,3.0,0.0333,4.0
h8,TAG_Forward,0.4,0.175,0.175,0.175,3.0,0.0703,8.0
h8,TAG_Forward,0.6,0.1077,0.1077,0.1538,3.0,0.045,13.0
h8,TAG_Forward,0.8,0.1059,0.1059,0.1176,3.0,0.0361,17.0
h88,Last_Seen,0.2,0.6,0.0,0.0,0.0,0.0,1.0
h88,Last_Seen,0.4,0.4667,0.0,0.0,0.0,0.0,3.0
h88,Last_Seen,0.6,0.6,0.0,0.0,1.0,0.0,4.0
h88,Last_Seen,0.8,0.1667,0.0,0.0,2.0,0.0,6.0
h88,Most_Connected,0.2,0.0,0.0,0.0,1.0,0.0,1.0
h88,Most_Connected,0.4,0.0,0.0,0.0,1.0,0.0,3.0
h88,Most_Connected,0.6,0.0,0.0,0.0,1.0,0.0,4.0
h88,Most_Connected,0.8,0.0,0.0,0.0,1.0,0.0,6.0
h88,Random,0.2,0.0,0.0,0.0,4.0,0.0,1.0
h88,Random,0.4,0.0,0.0,0.0,2.0,0.0,3.0
h88,Random,0.6,0.0,0.0,0.0,2.5,0.0,4.0
h88,Random,0.8,0.0,0.0,0.0,3.0,0.0,6.0
h88,Static_TAG,0.2,0.0,0.0,0.0,1.0,0.0025,1.0
h88,Static_TAG,0.4,0.0667,0.0667,0.2,1.0,0.0138,3.0
h88,Static_TAG,0.6,0.0,0.0,0.25,1.0,0.0118,4.0
h88,Static_TAG,0.8,0.0333,0.0333,0.2,1.0,0.016,6.0
h88,TAG_Forward,0.2,0.6,0.6,0.6,0.0,0.1944,1.0
h88,TAG_Forward,0.4,0.4667,0.4667,0.4667,0.0,0.1457,3.0
h88,TAG_Forward,0.6,0.6,0.6,0.6,1.0,0.2009,4.0
h88,TAG_Forward,0.8,0.1667,0.1667,0.1667,2.0,0.0503,6.0
h89,Last_Seen,0.2,1.0,0.0,0.0,0.0,0.0,1.0
h89,Last_Seen,0.4,1.0,0.0,0.0,0.0,0.0,1.0
h89,Last_Seen,0.6,1.0,0.0,0.0,0.0,0.0,1.0
h89,Last_Seen,0.8,1.0,0.0,0.0,0.0,0.0,2.0
h89,Most_Connected,0.2,0.0,0.0,0.0,1.0,0.0,1.0
h89,Most_Connected,0.4,0.0,0.0,0.0,1.0,0.0,1.0
h89,Most_Connected,0.6,0.0,0.0,0.0,1.0,0.0,1.0
h89,Most_Connected,0.8,0.0,0.0,0.0,1.0,0.0,2.0
h89,Random,0.2,0.0,0.0,0.0,3.0,0.0,1.0
h89,Random,0.4,0.0,0.0,0.0,3.0,0.0,1.0
h89,Random,0.6,0.0,0.0,0.0,2.0,0.0,1.0
h89,Random,0.8,0.1,0.0,0.0,2.5,0.0,2.0
h89,Static_TAG,0.2,0.0,0.0,0.0,1.0,0.0039,1.0
h89,Static_TAG,0.4,0.0,0.0,0.0,1.0,0.0063,1.0
h89,Static_TAG,0.6,0.0,0.0,0.0,1.0,0.0039,1.0
h89,Static_TAG,0.8,0.0,0.0,0.5,1.5,0.0173,2.0
h89,TAG_Forward,0.2,1.0,1.0,1.0,0.0,0.3582,1.0
h89,TAG_Forward,0.4,1.0,1.0,1.0,0.0,0.3646,1.0
h89,TAG_Forward,0.6,1.0,1.0,1.0,0.0,0.3582,1.0
h89,TAG_Forward,0.8,1.0,1.0,1.0,0.0,0.2479,2.0
h97,Last_Seen,0.2,0.0,0.0,0.0,100.0,0.0,1.0
h97,Last_Seen,0.4,0.0,0.0,0.0,100.0,0.0,1.0
h97,Last_Seen,0.6,0.0,0.0,0.0,53.5,0.0,2.0
h97,Last_Seen,0.8,0.0,0.0,0.0,7.0,0.0,3.0
h97,Most_Connected,0.2,0.0,0.0,0.0,4.0,0.0,1.0
h97,Most_Connected,0.4,0.0,0.0,0.0,6.0,0.0,1.0
h97,Most_Connected,0.6,0.0,0.0,0.0,52.0,0.0,2.0
h97,Most_Connected,0.8,0.0,0.0,0.0,6.0,0.0,3.0
h97,Random,0.2,0.0,0.0,0.0,100.0,0.0,1.0
h97,Random,0.4,0.0,0.0,0.0,100.0,0.0,1.0
h97,Random,0.6,0.0,0.0,0.0,100.0,0.0,2.0
h97,Random,0.8,0.0,0.0,0.0,100.0,0.0,3.0
h97,Static_TAG,0.2,0.0,0.0,0.0,100.0,0.0039,1.0
h97,Static_TAG,0.4,0.0,0.0,0.0,100.0,0.0034,1.0
h97,Static_TAG,0.6,0.0,0.0,0.0,50.5,0.0041,2.0
h97,Static_TAG,0.8,0.0,0.0,0.0,100.0,0.0033,3.0
h97,TAG_Forward,0.2,0.0,0.0,0.0,100.0,0.0019,1.0
h97,TAG_Forward,0.4,0.0,0.0,0.0,100.0,0.002,1.0
h97,TAG_Forward,0.6,0.0,0.0,0.0,53.5,0.0026,2.0
h97,TAG_Forward,0.8,0.0,0.0,0.0,7.0,0.0016,3.0
