window,active_hosts,total_nodes,total_edges,hosts_unpublished,hosts_published_only,hosts_exploit_available,hosts_patched,full_graph_reach_pairs,full_graph_reachable_nodes,lifecycle_reach_pairs,lifecycle_reachable_nodes,surface_reduction_pairs,surface_reduction_pct,lifecycle_edges,edges_removed_by_lifecycle,exploitable_node_count,nodes_newly_unreachable
T1,7,7,12,1,2,5,2,16,7,11,5,5,31.2,10,2,5,2
T2,9,9,24,0,2,6,5,48,9,29,6,19,39.6,17,7,6,3
T3,10,10,8,0,1,5,6,8,5,2,1,6,75.0,2,6,5,4
T4,8,8,16,0,0,4,7,22,8,11,4,11,50.0,7,9,4,4
