49,4,-1
30,0,-1
33,88,-1
64,4,-1
33,90,-1
46,1,-1
59,60,-1
43,1,-1
28,21,-1
45,90,-1
60,75,-1
96,20,-1
89,74,-1
93,20,-1
85,17,-1
82,8,-1
46,21,-1
28,74,-1
33,74,-1
28,25,-1
32,0,-1
90,35,-1
89,25,-1
45,74,-1
25,20,-1
45,1,-1
8,59,-1
48,1,-1
17,59,-1
33,21,-1
95,20,-1
20,59,-1
87,17,-1
1,35,-1
45,21,-1
81,8,-1
88,60,-1
28,75,-1
84,8,-1
74,35,-1
28,0,-1
31,75,-1
28,88,-1
31,0,-1
34,42,-1
53,4,-1
37,42,-1
30,75,-1
31,88,-1
28,90,-1
62,4,-1
4,59,-1
89,90,-1
33,25,-1
45,25,-1
68,8,-1
75,60,-1
86,17,-1
89,17,-1
35,60,-1
33,42,-1
21,35,-1
30,88,-1
36,42,-1
