53,3,-1
33,2,-1
40,10,-1
16,23,-1
46,10,-1
52,10,-1
19,23,-1
3,8,-1
9,8,-1
8,9,-1
6,8,-1
25,23,-1
12,52,-1
54,6,-1
20,9,-1
57,6,-1
12,1,-1
23,9,-1
15,1,-1
24,10,-1
65,7,-1
62,20,-1
16,40,-1
16,62,-1
19,40,-1
16,20,-1
32,2,-1
25,40,-1
12,23,-1
19,20,-1
19,62,-1
25,62,-1
10,9,-1
26,30,-1
59,6,-1
16,24,-1
16,46,-1
45,3,-1
17,1,-1
19,24,-1
25,24,-1
19,46,-1
25,46,-1
12,40,-1
12,62,-1
31,2,-1
37,2,-1
12,20,-1
7,8,-1
16,52,-1
12,46,-1
19,30,-1
25,30,-1
19,52,-1
25,52,-1
28,30,-1
16,1,-1
61,6,-1
66,7,-1
47,3,-1
2,7,-1
63,7,-1
12,24,-1
50,3,-1
