1,0,-1
2,1,-1
6,2,-1
7,6,-1
8,7,-1
9,8,-1
10,9,-1
11,10,-1
85,0,-1
77,0,-1
55,0,-1
17,0,-1
84,1,-1
88,1,-1
52,1,-1
36,1,-1
45,2,-1
96,2,-1
67,2,-1
65,2,-1
32,6,-1
84,6,-1
69,6,-1
73,6,-1
58,7,-1
19,7,-1
91,7,-1
41,7,-1
94,8,-1
52,8,-1
27,8,-1
44,8,-1
14,9,-1
91,9,-1
28,9,-1
87,9,-1
47,10,-1
52,10,-1
69,10,-1
27,10,-1
74,11,-1
57,11,-1
94,11,-1
98,11,-1
15,1,-1
22,7,-1
25,6,-1
49,8,-1
51,6,-1
59,11,-1
71,10,-1
75,8,-1
79,7,-1
92,1,-1
7,9,-1
7,10,-1
10,19,-1
2,25,-1
11,47,-1
11,58,-1
9,59,-1
11,65,-1
8,67,-1
0,73,-1
1,84,-1
9,87,-1
7,92,-1
11,96,-1
