5,3,-1
7,5,-1
10,7,-1
14,10,-1
15,14,-1
18,15,-1
19,18,-1
20,19,-1
21,20,-1
30,3,-1
57,3,-1
79,3,-1
68,3,-1
34,5,-1
52,5,-1
29,5,-1
87,5,-1
86,7,-1
99,7,-1
59,7,-1
52,7,-1
38,10,-1
70,10,-1
68,10,-1
52,10,-1
30,14,-1
99,14,-1
78,14,-1
58,14,-1
83,15,-1
43,15,-1
24,15,-1
88,15,-1
37,18,-1
46,18,-1
78,18,-1
30,18,-1
22,19,-1
58,19,-1
59,19,-1
89,19,-1
29,20,-1
46,20,-1
78,20,-1
74,20,-1
43,21,-1
89,21,-1
22,21,-1
74,21,-1
23,10,-1
26,15,-1
35,14,-1
40,10,-1
50,15,-1
63,7,-1
65,15,-1
66,14,-1
69,15,-1
72,3,-1
73,3,-1
76,18,-1
82,19,-1
93,15,-1
95,7,-1
96,10,-1
3,5,-1
14,20,-1
3,46,-1
14,68,-1
15,70,-1
7,73,-1
14,78,-1
7,79,-1
10,86,-1
14,87,-1
10,88,-1
15,96,-1
