1,0,-1
2,1,-1
5,2,-1
6,5,-1
10,6,-1
11,10,-1
12,11,-1
14,12,-1
43,0,-1
69,0,-1
52,0,-1
41,0,-1
49,1,-1
15,1,-1
18,1,-1
63,1,-1
31,2,-1
34,2,-1
59,2,-1
50,2,-1
40,5,-1
57,5,-1
44,5,-1
34,5,-1
21,6,-1
59,6,-1
68,6,-1
27,6,-1
44,10,-1
16,10,-1
18,10,-1
17,10,-1
58,11,-1
31,11,-1
47,11,-1
44,11,-1
69,12,-1
63,12,-1
18,12,-1
16,12,-1
52,14,-1
33,14,-1
21,14,-1
22,14,-1
20,5,-1
28,11,-1
32,12,-1
35,6,-1
51,11,-1
53,5,-1
55,14,-1
56,12,-1
60,0,-1
62,14,-1
64,12,-1
66,5,-1
67,11,-1
1,2,-1
12,5,-1
6,21,-1
12,35,-1
14,47,-1
1,52,-1
10,68,-1
